Time_s,Input_u_PWM,Output_y_Temp
134.533,50.0,28.25
135.089,50.0,28.75
135.109,50.0,28.5
135.698,50.0,28.5
136.255,50.0,28.5
136.812,50.0,28.5
137.409,50.0,28.5
137.980,50.0,28.75
138.541,50.0,28.5
139.110,50.0,28.5
139.123,50.0,29.25
139.713,50.0,28.5
140.280,50.0,28.75
140.835,50.0,29.25
141.394,50.0,29.0
141.978,50.0,29.25
142.546,50.0,29.0
143.106,50.0,29.25
143.117,50.0,29.25
143.707,50.0,29.25
144.282,50.0,29.25
144.851,50.0,29.75
145.409,50.0,29.25
145.964,50.0,29.75
146.522,50.0,29.75
147.082,50.0,29.5
147.106,50.0,29.75
147.689,50.0,29.75
148.247,50.0,29.75
148.812,50.0,30.0
149.376,50.0,29.75
149.939,50.0,30.25
150.512,50.0,30.25
151.075,50.0,29.75
151.635,50.0,30.0
151.641,50.0,29.75
152.233,50.0,30.25
152.787,50.0,30.0
153.371,50.0,30.25
153.925,50.0,30.5
154.500,50.0,30.5
155.068,50.0,30.25
155.636,50.0,30.5
155.646,50.0,30.75
156.221,50.0,30.75
156.780,50.0,30.5
157.339,50.0,30.25
157.920,50.0,30.75
158.494,50.0,30.75
159.061,50.0,30.75
159.633,50.0,30.5
159.661,50.0,30.75
160.233,50.0,31.0
160.796,50.0,31.25
161.358,50.0,31.0
161.935,50.0,30.5
162.516,50.0,31.25
163.089,50.0,31.25
163.110,50.0,31.5
163.704,50.0,31.25
164.281,50.0,31.0
164.857,50.0,31.5
165.415,50.0,31.75
165.988,50.0,31.25
166.556,50.0,31.5
167.139,50.0,31.75
167.146,50.0,31.5
167.746,50.0,31.75
168.318,50.0,32.0
168.885,50.0,31.75
169.461,50.0,31.5
170.033,50.0,31.75
170.604,50.0,32.0
170.604,50.0,32.0
171.219,50.0,32.25
171.793,50.0,32.0
172.367,50.0,32.5
172.936,50.0,32.25
173.514,50.0,32.25
174.095,50.0,32.5
174.110,50.0,32.5
174.702,50.0,32.25
175.276,50.0,32.5
175.895,50.0,32.5
176.465,50.0,32.0
177.036,50.0,32.75
177.619,50.0,32.0
177.628,50.0,32.0
178.230,50.0,32.75
178.786,50.0,32.25
179.345,50.0,32.75
179.914,50.0,32.75
180.502,50.0,32.0
181.063,50.0,33.0
181.619,50.0,33.25
181.619,50.0,32.25
182.212,50.0,33.25
182.778,50.0,33.25
183.336,50.0,33.0
183.893,50.0,33.5
184.471,50.0,33.25
185.026,50.0,33.0
185.594,50.0,32.75
185.611,50.0,33.5
186.192,50.0,33.5
186.761,50.0,33.75
187.319,50.0,33.5
187.890,50.0,33.75
188.455,50.0,33.75
189.020,50.0,33.75
189.578,50.0,33.5
190.137,50.0,33.75
190.146,50.0,34.0
190.714,50.0,34.25
191.279,50.0,34.0
191.844,50.0,33.75
192.411,50.0,34.0
192.975,50.0,33.75
193.560,50.0,34.5
194.124,50.0,34.25
194.134,50.0,34.5
194.719,50.0,34.25
195.271,50.0,34.25
195.828,50.0,34.25
196.398,50.0,34.5
196.957,50.0,34.25
197.525,50.0,34.75
198.097,50.0,34.5
198.107,50.0,34.5
198.694,50.0,34.5
199.259,50.0,35.0
199.819,50.0,34.75
200.385,50.0,34.5
200.945,50.0,34.75
201.530,50.0,34.75
202.091,50.0,35.25
202.110,50.0,35.25
202.698,50.0,35.0
203.264,50.0,35.25
203.830,50.0,35.25
204.389,50.0,35.25
204.959,50.0,35.25
205.519,50.0,35.0
206.091,50.0,35.5
206.111,50.0,35.5
206.684,50.0,35.75
207.285,50.0,35.75
207.896,50.0,35.25
208.470,50.0,35.75
209.036,50.0,35.75
209.595,50.0,35.75
209.609,50.0,35.75
210.188,50.0,36.0
210.754,50.0,35.75
211.314,50.0,36.0
211.885,50.0,36.25
212.453,50.0,36.0
213.029,50.0,36.25
213.595,50.0,36.25
213.609,50.0,36.25
214.193,50.0,35.75
214.754,50.0,36.0
215.321,50.0,36.5
215.876,50.0,36.5
216.442,50.0,36.75
217.000,50.0,36.5
217.554,50.0,36.75
218.131,50.0,36.75
218.142,50.0,36.75
218.711,50.0,36.75
219.272,50.0,36.75
219.831,50.0,36.75
220.392,50.0,37.0
220.958,50.0,37.0
221.517,50.0,37.25
222.080,50.0,36.75
222.628,50.0,37.0
222.659,50.0,37.25
223.238,50.0,37.25
223.797,50.0,37.5
224.361,50.0,37.25
224.935,50.0,37.0
225.505,50.0,37.0
226.065,50.0,37.25
226.634,50.0,37.75
226.651,50.0,37.5
227.232,50.0,37.75
227.797,50.0,37.75
228.370,50.0,38.0
228.932,50.0,37.75
229.503,50.0,38.0
230.074,50.0,38.0
230.645,50.0,37.25
230.645,50.0,38.0
231.253,50.0,37.5
231.822,50.0,38.25
232.398,50.0,37.75
233.045,50.0,37.25
233.614,50.0,38.0
233.621,50.0,38.25
234.232,50.0,37.75
234.807,50.0,38.25
235.381,50.0,38.25
235.952,50.0,38.5
236.521,50.0,38.5
237.089,50.0,38.25
237.664,50.0,38.5
237.670,50.0,38.5
238.274,50.0,38.75
238.856,50.0,38.5
239.430,50.0,39.0
240.003,50.0,38.75
240.578,50.0,38.75
241.148,50.0,39.0
241.149,50.0,38.75
241.759,50.0,39.0
242.333,50.0,39.25
242.923,50.0,39.25
243.476,50.0,39.5
244.037,50.0,39.25
244.618,50.0,39.0
244.628,50.0,39.25
245.214,50.0,39.5
245.780,50.0,39.25
246.355,50.0,39.5
246.925,50.0,39.75
247.486,50.0,39.75
248.074,50.0,39.5
248.647,50.0,39.5
248.663,50.0,39.5
249.250,50.0,40.0
249.808,50.0,40.0
250.399,50.0,40.0
250.983,50.0,40.0
251.565,50.0,39.75
252.144,50.0,40.0
252.144,50.0,39.75
252.761,50.0,40.25
253.363,50.0,40.5
253.947,50.0,40.0
254.556,50.0,40.0
255.139,50.0,40.25
255.139,50.0,40.5
255.740,50.0,40.25
256.317,50.0,40.0
256.891,50.0,40.25
257.474,50.0,40.5
258.054,50.0,40.75
258.639,50.0,40.75
258.645,50.0,40.25
259.250,50.0,40.5
259.823,50.0,40.5
260.407,50.0,41.0
260.992,50.0,41.25
261.583,50.0,41.0
261.604,50.0,41.0
262.209,50.0,41.25
262.798,50.0,41.25
263.371,50.0,41.25
263.948,50.0,41.0
264.528,50.0,41.25
265.109,50.0,41.5
265.111,50.0,41.5
265.729,50.0,41.0
266.333,50.0,41.5
266.912,50.0,41.25
267.488,50.0,41.0
268.084,50.0,41.5
268.103,50.0,41.5
268.687,50.0,41.5
269.256,50.0,41.75
269.836,50.0,41.25
270.415,50.0,41.5
270.998,50.0,41.75
271.571,50.0,42.0
272.147,50.0,42.0
272.153,50.0,41.25
272.746,50.0,42.0
273.333,50.0,42.0
273.949,50.0,42.0
274.523,50.0,42.25
275.091,50.0,42.25
275.103,50.0,42.5
275.700,50.0,42.5
276.276,50.0,42.5
276.844,50.0,42.5
277.421,50.0,42.25
278.519,50.0,42.5
278.852,50.0,42.75
278.892,50.0,42.75
279.523,50.0,42.25
279.668,50.0,43.0
280.283,50.0,42.75
280.863,50.0,42.75
281.628,50.0,43.0
281.636,50.0,42.5
282.242,50.0,43.5
282.818,50.0,43.0
283.410,50.0,43.25
283.993,50.0,43.0
284.588,50.0,43.25
284.601,50.0,42.75
285.192,50.0,43.25
285.795,50.0,43.75
286.360,50.0,43.5
286.934,50.0,43.5
287.504,50.0,43.75
288.086,50.0,43.5
288.108,50.0,43.5
288.719,50.0,43.75
289.299,50.0,44.0
289.874,50.0,43.75
290.452,50.0,44.0
291.028,50.0,43.75
291.605,50.0,44.0
291.617,50.0,43.75
292.232,50.0,43.75
292.810,50.0,44.0
293.404,50.0,43.75
293.973,50.0,43.5
294.549,50.0,43.75
295.127,50.0,44.25
295.135,50.0,44.5
295.740,50.0,43.75
296.302,50.0,44.5
297.472,50.0,44.25
297.536,50.0,44.5
298.162,50.0,44.0
298.317,50.0,44.25
298.996,50.0,44.5
299.569,50.0,44.25
300.145,50.0,44.25
300.148,50.0,44.25
300.759,50.0,44.75
301.355,50.0,44.25
301.941,50.0,44.75
302.525,50.0,44.25
303.113,50.0,44.75
303.114,50.0,44.75
303.716,50.0,44.5
304.300,50.0,44.75
304.881,50.0,44.75
305.461,50.0,45.25
306.040,50.0,45.0
306.617,50.0,45.25
306.623,50.0,45.25
307.223,50.0,45.25
307.797,50.0,45.25
308.376,50.0,45.25
308.948,50.0,45.5
309.531,50.0,45.5
310.108,50.0,45.5
310.108,50.0,45.75
310.716,50.0,45.0
311.292,50.0,45.75
311.866,50.0,46.0
312.441,50.0,45.75
313.013,50.0,46.0
313.587,50.0,46.0
313.602,50.0,46.0
314.190,50.0,46.0
314.764,50.0,46.25
315.352,50.0,46.0
316.051,50.0,46.25
316.364,50.0,46.0
316.960,50.0,46.5
317.099,50.0,46.25
317.711,50.0,46.5
318.286,50.0,46.5
318.860,50.0,46.25
319.428,50.0,46.25
320.039,50.0,46.75
320.609,50.0,46.75
